hour_utc,samples,pack_current_avg_a,pack_voltage_avg_v,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c,temp_min_avg_c
2026-04-09 00:00:00,120,0.00,339.2,3525,3541,16.3,19,14.0,11.8
2026-04-09 01:00:00,120,0.00,339.2,3525,3541,16.2,19,14.0,11.6
2026-04-09 02:00:00,120,0.00,339.2,3525,3541,16.2,19,14.0,11.5
2026-04-09 03:00:00,99,0.00,339.2,3525,3541,16.2,19,14.0,11.5
2026-04-09 04:00:00,120,0.00,339.2,3525,3541,16.2,19,14.0,11.5
2026-04-09 05:00:00,120,0.00,339.2,3525,3541,16.1,19,14.0,11.5
2026-04-09 06:00:00,120,0.00,339.1,3524,3541,16.2,19,14.0,11.5
2026-04-09 07:00:00,3,0.00,339.1,3524,3541,17.0,17,14.0,11.5
2026-04-09 10:00:00,54,0.00,339.1,3524,3540,16.1,17,12.8,11.5
2026-04-09 11:00:00,114,0.00,339.1,3524,3541,16.3,19,13.0,11.5
2026-04-18 14:00:00,92,0.00,339.2,3525,3541,15.9,18,13.5,13.0
2026-04-18 15:00:00,118,0.00,339.2,3525,3541,15.9,19,13.5,13.0
2026-04-18 16:00:00,118,0.00,339.2,3525,3541,16.1,19,14.0,13.0
2026-04-18 17:00:00,117,0.00,339.1,3524,3541,16.2,19,14.0,13.0
2026-04-18 18:00:00,123,0.00,339.1,3524,3540,16.1,19,14.2,13.0
2026-04-18 19:00:00,120,0.00,339.1,3524,3540,16.3,19,14.5,13.0
2026-04-18 20:00:00,120,0.00,339.1,3524,3540,16.2,19,14.5,13.0
2026-04-18 21:00:00,120,0.00,339.1,3524,3540,16.2,20,14.5,13.0
